                                                                 
 EXPEDIDO EN: ABARROTES KRLOS                                    
 AV. UNIVERSIDAD #200 ESCOBEDO, N.L.                             
=================================================================
                      DETALLE DE INVENTARIO                      
 NO. BOLETA: 16                                                  
 FECHA DE EMISION: 2017-feb-03      HORA: 17:31:56               
 CAJA: 045                                                       
 GENERADO POR: mcavazos                                          
-----------------------------------------------------------------
|DESCRIPCION                                      |CANT          
-----------------------------------------------------------------
 CUERVO ESP 1 LTO                                  0             
 SAUZA AÑEJO 1/4                                   0             
 TRADICIONAL LTO                                   0             
 HERRADURA ANT LTO                                 0             
 TRADICIONAL 375                                   0             
 TRADICIONAL 3/4                                   0             
 HERRADURA ANT 3/4                                 0             
 HPNOTIQ                                           0             
 BALLANTINES 375                                   0             
 DISARONNO                                         0             
 D JULIO AÑ 375                                    0             
 JAMESON 1/4                                       0             
 TRADICIONAL 1/2                                   0             
 DON JULIO BCO 3/4                                 0             
 DON JULIO REP 3/4                                 0             
 INDIO 1/4                                         40            
 DON PEDRO 1/2 LTO                                 0             
 DON PEDRO 1 LTO                                   0             
 DON PEDRO 1/4 LTO                                 0             
 DON PEDRO 3/4 LTO                                 0             
 JIMADOR BCO LTO                                   0             
 JIMADOR BCO 3/4                                   0             
 ET. NEGRA 375                                     0             
 SOLERA                                            0             
 HERRADURA REP LTO                                 0             
 TERRY                                             0             
 HERRADURA BCO 3/4                                 0             
 TORRES 5                                          0             
 HERRADURA REP. 3/4                                0             
 HORNITOS 1/4                                      0             
 HORNITOS 1 LTO                                    0             
 TORRES 10                                         0             
 HORNITOS 3/4 LTO                                  0             
 HORNITOS AÑEJO 3/4                                0             
 JARABE NATURAL                                    0             
 JIMADOR 1 LTO                                     0             
 JIMADOR 1/2 LTO                                   0             
 JIMADOR 1/4 LTO                                   0             
 JIMADOR 3/4 LTO                                   0             
 MALIBU 3/4                                        0             
 MARGARITA 3/4                                     0             
 VINO TINTO/BLANCO                                 0             
 VINO TINTO 150                                    0             
 MARTELL VS 3/4                                    0             
 MARTELL VSOP 375                                  0             
 MARTELL VSOP 3/4                                  0             
 BAILEYS 375                                       0             
 CUERVO ESP 3/4                                    0             
 AZUL 3/4                                          0             
 NEW MIX  355 ML                                   114           
 NEW MIX 2L                                        0             
 ORENDAIN BCO 1/4                                  0             
 ORENDAIN BCO LTO                                  0             
 OSO NEGRO LTO                                     0             
 OSO NEGRO 1/4                                     0             
 INDIO 1 1/4                                       142           
 MARTINI                                           0             
 PASSPORT 3/4                                      0             
 PASSPORT LTO                                      0             
 JUGO LTO                                          0             
 PRESIDENTE 1 LTO                                  0             
 PRESIDENTE 1/2 LTO                                0             
 PRESIDENTE 1/4 LTO                                0             
 PRESIDENTE 3/4 LTO                                0             
 SANGRITA AGAVITO                                  0             
 SANGRITA LA VIUDA                                 0             
 SIDRA CELEBRACION                                 0             
 SMIRNOFF 3/4                                      0             
 EL CHARRO 375                                     0             
 SMIRNOFF LTO                                      0             
 HIGHLAND RESERVE                                  0             
 HERRADURA 375                                     0             
 TEQ. CABRITO LTO                                  0             
 TEQ CORRALEJO 3/4                                 0             
 TEQ CORRALEJO LT                                  0             
 SMIRNOFF 375                                      0             
 VAMPIRO LTO                                       0             
 VIEJO VERGEL 1 LTO                                0             
 VIEJO VERGEL 1/2 L                                0             
 VIEJO VERGEL 1/4 L                                0             
 VIEJO VERGEL 3/4 L                                0             
 BAILEYS                                           0             
 DON JULIO AÑEJO                                   0             
 3 GEN. BLANCO                                     0             
 3 GEN. REPOSADO                                   0             
 3 GEN. AÑEJO                                      0             
 TEQ 1800 BLANCO                                   0             
 TEQ 1800 REP                                      0             
 TEQ 100 AÑOS                                      0             
 TEQ ORENDAIN 3/4                                  0             
 TEQ COMPADRE                                      0             
 TKT 1 1/4                                         372           
 DEP ENVASE 1/1                                    0             
 ENVASES                                           165           
 TKT LIGHT 1/1                                     40            
 CAGUAMA TKT NR                                    16            
 TKT LIGHT 1/2                                     443           
 TKT ROJO 1/2                                      -2            
 TKT LIGHT 1/4                                     258           
 TKT BLANCO                                        29125         
 TKT BCO T AZUL                                    -1            
 TKT ROJO 16OZ                                     -2            
 TKT BLANCO 16OZ                                   212           
 TKT TWIST                                         -30           
 15 TKT PROMO                                      -1            
 TKT BCO 24 OZ                                     0             
 XX 1/2                                            60            
 XX AMBAR 1/2                                      0             
 XX 1/4                                            0             
 XX LATA                                           69            
 XX 1 1/4                                          0             
 KLOSTER 1/1                                       0             
 ENC CONCHITAS 200G                                0             
 ENC CHICHOS 200G                                  0             
 BOHEMIA 1/2                                       0             
 XX LAGER 1/2 NR                                   152           
 COORS LATA                                        0             
 TKT TWIST SIX                                     0             
 BOHEMIA NR                                        2             
 PEPSI 600 ML                                      111           
 PEPSI LTO                                         112           
 BUD 1/2                                           0             
 HEINEKEN 1/4 NR                                   312           
 INDIOCAGUAMON                                     0             
 HEINEKEN NR                                       0             
 MILLER LITE 1/1                                   0             
 MILLER LITE 1/2                                   0             
 MILLER LITE 24OZ                                  0             
 MILLER LITE LATA                                  0             
 MILLER DRAFT 1/2                                  0             
 MILLER LITE PONY                                  0             
 MILLER DRAFT 24OZ                                 0             
 MILLER DRAFT LATA                                 0             
 MILLER HIGHLIFE 1/                                0             
 MILLER HIGHLIFE PO                                0             
 MILLER HIGHLIFE LA                                0             
 SCHAEFER 1/1                                      0             
 SCHAEFER LATA                                     0             
 SHINER BOCK                                       0             
 HEINEKEN 1/2                                      0             
 HEINEKEN LATA                                     0             
 PALOMITAS 6                                       0             
 BONAFONT 600ML                                    0             
 AGUAFIEL 1 /12                                    0             
 PEÑAFIEL 2 LTS                                    0             
 BONAFONT SABOR  1.                                0             
 PEPSI KICK                                        0             
 COCA 355 ML                                       124           
 BONAFONT SABOR 300                                0             
 COCA 1/2 NR                                       0             
 COCA LATA                                         0             
 COCA 2 LTS R                                      0             
 COCA 2 LTS NR                                     34            
  BEBIDAS 600                                      196           
 COCA 2.5 LTS NR                                   57            
